forecast_error_percent,beta,noise_model,sigma_rule,osi_initialization
5,0.1,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
5,0.3,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
5,0.5,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
5,1.0,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
10,0.1,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
10,0.3,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
10,0.5,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
10,1.0,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
15,0.1,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
15,0.3,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
15,0.5,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
15,1.0,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
25,0.1,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
25,0.3,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
25,0.5,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
25,1.0,additive_gaussian,sigma=error_level/1.96,filtered_osi(0)=raw_osi(0)
